"","gene_id","control1","control2","treat1","treat2"
"1723","NM_001006120",0,0,0,0
"1724","NM_001006121",0,0,0,0
"1725","NM_001006600",0,0,0,0
"1726","NM_001006605",0,0,0,0
"1727","NM_001006607",1,0,0,0
"1728","NM_001006610",7,8,2,1
"1729","NM_001006612",0,0,0,0
"1730","NM_001006613",0,0,0,0
"1731","NM_001006614",0,0,0,0
"1732","NM_001006616",0,0,0,0
"1733","NM_001006617",0,0,0,0
"1734","NM_001006618",11,5,7,6
"1735","NM_001006619",0,0,0,0
"1736","NM_001006620",0,0,0,0
"1737","NM_001006621",0,0,0,0
"1738","NM_001006622",72,53,60,58
"1739","NM_001006623",28,24,11,19
"1740","NM_001006624",0,0,0,0
"1741","NM_001006625",0,0,0,0
"1742","NM_001006626",0,2,0,0
"1743","NM_001006627",0,0,0,0
"1744","NM_001006628",0,0,0,0
"1745","NM_001006629",0,0,0,0
"1746","NM_001006630",0,0,0,0
"1747","NM_001006631",0,0,0,0
"1748","NM_001006632",0,0,0,0
"1749","NM_001006634",13,12,9,4
"1750","NM_001006636",2,1,0,0
"1751","NM_001006638",0,0,0,0
"1752","NM_001006639",0,0,0,0
"1753","NM_001006640",3,3,2,1
"1754","NM_001006641",10,9,8,7
"1755","NM_001006642",0,0,0,0
"1756","NM_001006655",0,0,0,0
"1757","NM_001006656",0,0,0,0
"1758","NM_001006657",0,0,1,0
"1759","NM_001006658",0,0,0,0
"1760","NM_001006665",0,0,0,1
"1761","NM_001006666",27,8,20,17
"1762","NM_001006681",0,0,0,0
"1763","NM_001006682",0,0,0,0
"1764","NM_001006683",0,0,0,0
"1765","NM_001006684",0,0,0,0
"1766","NM_001006932",0,0,0,0
"1767","NM_001006933",0,0,0,0
"1768","NM_001006935",0,0,0,0
"1769","NM_001006937",0,0,0,0
"1770","NM_001006938",2,0,0,0
"1771","NM_001006939",0,0,1,0
"1772","NM_001006941",4,5,8,5
"1773","NM_001006943",0,0,0,0
"1774","NM_001006944",0,0,0,0
"1775","NM_001006945",0,0,0,0
"1776","NM_001006946",2,4,6,7
"1777","NM_001006947",0,0,2,0
"1778","NM_001007",5514,6424,6458,5115
"1779","NM_001007022",0,0,0,0
"1780","NM_001007023",0,0,0,0
"1781","NM_001007024",0,0,0,0
"1782","NM_001007025",0,0,0,0
"1783","NM_001007026",0,0,0,0
"1784","NM_001007027",1,0,0,0
"1785","NM_001007033",0,0,0,0
"1786","NM_001007067",0,0,0,0
"1787","NM_001007068",0,0,0,0
"1788","NM_001007069",0,0,0,0
"1789","NM_001007070",0,0,0,0
"1790","NM_001007072",0,4,1,2
"1791","NM_001007073",0,0,0,0
"1792","NM_001007074",0,0,0,0
"1793","NM_001007075",0,0,0,0
"1794","NM_001007088",0,0,0,0
"1795","NM_001007089",0,0,0,0
"1796","NM_001007090",27,30,31,21
"1797","NM_001007094",19,16,32,24
"1798","NM_001007097",0,0,0,0
"1799","NM_001007098",132,125,269,269
"1800","NM_001007099",0,0,0,0
"1801","NM_001007100",0,0,0,0
"1802","NM_001007101",0,0,0,0
"1803","NM_001007102",0,0,0,0
"1804","NM_001007122",0,0,0,0
"1805","NM_001007125",1,1,1,1
"1806","NM_001007139",0,0,0,0
"1807","NM_001007156",0,0,0,0
"1808","NM_001007169",2,3,0,1
"1809","NM_001007176",0,0,0,0
"1810","NM_001007188",2,1,2,1
"1811","NM_001007189",130,147,226,291
"1812","NM_001007214",4,8,5,3
"1813","NM_001007225",0,0,0,0
"1814","NM_001007226",0,0,0,0
"1815","NM_001007227",0,0,0,0
"1816","NM_001007228",0,0,0,0
"1817","NM_001007229",0,0,0,0
"1818","NM_001007230",0,0,0,0
"1819","NM_001007231",0,0,0,0
"1820","NM_001007232",0,0,0,0
"1821","NM_001007233",3,4,1,5
"1822","NM_001007234",1,0,1,0
"1823","NM_001007237",0,0,0,0
"1824","NM_001007239",0,0,0,0
"1825","NM_001007240",0,0,0,0
"1826","NM_001007241",0,0,0,0
"1827","NM_001007242",0,0,0,0
"1828","NM_001007245",0,0,0,0
"1829","NM_001007246",77,65,64,74
"1830","NM_001007248",36,31,30,25
"1831","NM_001007250",0,0,0,0
"1832","NM_001007253",257,218,180,191
"1833","NM_001007255",0,0,0,0
"1834","NM_001007257",0,0,0,0
"1835","NM_001007259",0,0,0,0
"1836","NM_001007261",0,0,0,0
"1837","NM_001007267",31,22,22,25
"1838","NM_001007269",0,0,0,0
"1839","NM_001007270",0,0,0,0
"1840","NM_001007271",0,1,0,0
"1841","NM_001007272",0,0,0,0
"1842","NM_001007273",0,0,0,0
"1843","NM_001007278",0,2,0,0
"1844","NM_001007464",0,0,0,0
"1845","NM_001007466",0,0,0,0
"1846","NM_001007467",0,0,0,0
"1847","NM_001007468",0,0,0,0
"1848","NM_001007469",0,0,0,0
"1849","NM_001007470",0,0,0,0
"1850","NM_001007471",0,0,0,0
"1851","NM_001007523",0,0,0,0
"1852","NM_001007524",0,0,0,0
"1853","NM_001007525",0,0,0,0
"1854","NM_001007527",203,209,278,261
"1855","NM_001007530",1,0,0,1
"1856","NM_001007531",23,15,27,27
"1857","NM_001007532",0,0,0,0
"1858","NM_001007533",0,1,4,1
"1859","NM_001007534",0,0,1,0
"1860","NM_001007537",3,2,0,4
"1861","NM_001007538",1,2,5,4
"1862","NM_001007540",3,2,0,1
"1863","NM_001007544",0,0,0,0
"1864","NM_001007551",0,0,0,0
"1865","NM_001007553",0,0,0,0
"1866","NM_001007559",0,0,0,0
"1867","NM_001007561",343,408,480,477
"1868","NM_001007563",5,6,2,10
"1869","NM_001007565",0,0,0,0
"1870","NM_001007593",0,0,0,0
"1871","NM_001007595",0,0,0,0
"1872","NM_001007792",0,0,0,0
"1873","NM_001007793",0,0,0,0
"1874","NM_001007794",13,14,12,21
"1875","NM_001008",2518,3032,2844,2321
"1876","NM_001008211",0,1,0,1
"1877","NM_001008212",0,0,0,0
"1878","NM_001008213",0,0,0,0
"1879","NM_001008215",187,239,270,189
"1880","NM_001008216",0,0,0,0
"1881","NM_001008218",0,0,0,0
"1882","NM_001008219",0,0,0,0
"1883","NM_001008220",0,0,0,0
"1884","NM_001008221",0,0,0,0
"1885","NM_001008222",1,1,2,2
"1886","NM_001008223",1,1,1,2
"1887","NM_001008224",9,3,9,16
"1888","NM_001008225",0,0,0,0
"1889","NM_001008226",1,2,1,4
"1890","NM_001008228",0,0,0,0
"1891","NM_001008229",0,0,0,0
"1892","NM_001008237",10,9,13,10
"1893","NM_001008239",0,0,0,0
"1894","NM_001008269",0,0,1,0
"1895","NM_001008270",0,0,0,0
"1896","NM_001008272",0,0,0,0
"1897","NM_001008273",0,0,0,0
"1898","NM_001008274",0,0,0,0
"1899","NM_001008387",0,0,0,0
"1900","NM_001008388",213,247,246,179
"1901","NM_001008389",0,0,0,0
"1902","NM_001008390",9,8,3,7
"1903","NM_001008391",207,196,242,195
"1904","NM_001008392",1,0,0,0
"1905","NM_001008393",17,28,23,10
"1906","NM_001008394",57,51,31,34
"1907","NM_001008395",360,395,428,319
"1908","NM_001008396",0,0,0,0
"1909","NM_001008397",0,0,0,0
"1910","NM_001008401",0,0,0,2
"1911","NM_001008404",0,0,0,0
"1912","NM_001008405",1,1,2,2
"1913","NM_001008409",0,0,0,0
"1914","NM_001008410",0,0,0,0
"1915","NM_001008485",0,0,0,0
"1916","NM_001008486",0,0,0,0
"1917","NM_001008487",0,0,0,0
"1918","NM_001008489",0,0,0,0
"1919","NM_001008491",0,0,0,0
"1920","NM_001008492",1,0,1,1
"1921","NM_001008493",0,0,0,0
"1922","NM_001008495",39,44,26,22
"1923","NM_001008496",0,0,0,0
"1924","NM_001008503",0,0,0,0
"1925","NM_001008504",0,0,0,0
"1926","NM_001008505",0,0,0,0
"1927","NM_001008528",546,596,727,697
"1928","NM_001008529",0,0,0,0
"1929","NM_001008530",0,0,0,0
"1930","NM_001008534",0,0,0,0
"1931","NM_001008535",0,0,0,0
"1932","NM_001008536",0,0,1,1
"1933","NM_001008537",1,0,3,0
"1934","NM_001008539",0,0,0,0
"1935","NM_001008540",0,0,0,0
"1936","NM_001008541",0,0,0,0
"1937","NM_001008563",0,0,0,2
"1938","NM_001008564",0,0,0,0
"1939","NM_001008566",0,0,0,1
"1940","NM_001008657",10,18,10,11
"1941","NM_001008660",2,3,2,2
"1942","NM_001008661",0,0,0,0
"1943","NM_001008662",0,0,0,0
"1944","NM_001008693",0,0,0,0
"1945","NM_001008695",0,0,0,0
"1946","NM_001008697",0,0,0,0
"1947","NM_001008701",0,0,0,0
"1948","NM_001008703",0,0,0,0
"1949","NM_001008704",0,0,0,0
"1950","NM_001008707",0,0,0,2
"1951","NM_001008708",12,10,9,18
"1952","NM_001008709",0,3,0,2
"1953","NM_001008710",0,0,0,0
"1954","NM_001008711",1,1,0,1
"1955","NM_001008712",12,13,12,15
"1956","NM_001008723",14,8,17,14
"1957","NM_001008726",0,0,0,0
"1958","NM_001008727",0,0,0,0
"1959","NM_001008737",9,11,10,14
"1960","NM_001008738",0,0,0,0
"1961","NM_001008739",14,12,17,12
"1962","NM_001008740",0,0,0,0
"1963","NM_001008743",0,0,0,0
"1964","NM_001008744",0,0,0,0
"1965","NM_001008747",0,0,1,0
"1966","NM_001008749",0,0,0,0
"1967","NM_001008777",0,1,0,0
"1968","NM_001008778",0,1,0,1
"1969","NM_001008779",0,0,1,1
"1970","NM_001008781",43,38,30,50
"1971","NM_001008783",0,0,1,0
"1972","NM_001008784",0,0,0,0
"1973","NM_001008800",0,0,0,0
"1974","NM_001008801",0,0,0,0
"1975","NM_001008844",0,0,0,0
"1976","NM_001008860",0,0,0,0
"1977","NM_001008892",0,0,0,0
"1978","NM_001008894",0,0,0,0
"1979","NM_001008895",34,17,28,29
"1980","NM_001008897",0,0,0,0
"1981","NM_001008901",0,0,0,0
"1982","NM_001008910",0,0,0,0
"1983","NM_001008938",40,37,35,38
"1984","NM_001008949",0,0,0,0
"1985","NM_001009",4906,5223,5547,3916
"1986","NM_001009181",0,0,0,0
"1987","NM_001009182",0,0,0,0
"1988","NM_001009183",0,0,0,0
"1989","NM_001009184",0,0,0,0
"1990","NM_001009185",0,0,0,0
"1991","NM_001009186",0,0,0,0
"1992","NM_001009552",535,489,733,644
"1993","NM_001009554",0,0,0,0
"1994","NM_001009555",1,1,2,1
"1995","NM_001009562",0,0,1,0
"1996","NM_001009565",2,1,8,11
"1997","NM_001009566",0,0,0,0
"1998","NM_001009568",0,0,1,1
"1999","NM_001009570",0,0,0,0
"2000","NM_001009571",0,0,0,0
"2001","NM_001009584",0,0,0,0
"2002","NM_001009606",0,0,0,0
"2003","NM_001009608",38,31,33,24
"2004","NM_001009609",0,0,0,1
"2005","NM_001009611",0,0,0,0
"2006","NM_001009612",1,2,0,0
"2007","NM_001009613",0,0,0,0
"2008","NM_001009614",0,0,0,0
"2009","NM_001009615",0,0,0,0
"2010","NM_001009616",0,0,0,0
"2011","NM_001009811",0,0,0,0
"2012","NM_001009812",6,2,6,5
"2013","NM_001009813",0,0,0,0
"2014","NM_001009814",0,0,1,0
"2015","NM_001009877",0,0,0,0
"2016","NM_001009880",5,2,3,3
"2017","NM_001009881",0,0,0,0
"2018","NM_001009894",131,156,199,170
"2019","NM_001009899",429,471,392,373
"2020","NM_001009905",17,10,15,3
"2021","NM_001009909",0,0,0,0
"2022","NM_001009921",0,0,0,0
"2023","NM_001009922",0,0,0,0
"2024","NM_001009923",0,0,0,0
"2025","NM_001009924",0,0,0,0
"2026","NM_001009925",0,0,0,0
"2027","NM_001009931",14,9,13,15
"2028","NM_001009932",3,1,3,5
"2029","NM_001009933",0,0,0,0
"2030","NM_001009934",0,0,0,0
"2031","NM_001009936",0,0,0,0
"2032","NM_001009939",0,0,0,0
"2033","NM_001009941",0,0,0,0
"2034","NM_001009943",0,0,0,0
"2035","NM_001009944",0,0,0,0
"2036","NM_001009955",0,0,0,0
"2037","NM_001009958",0,0,0,0
"2038","NM_001009959",0,0,0,1
"2039","NM_001009960",0,0,0,0
"2040","NM_001009984",362,349,349,359
"2041","NM_001009991",0,0,0,0
"2042","NM_001009992",0,0,0,0
"2043","NM_001009993",1277,1246,1370,1327
"2044","NM_001009994",0,0,0,0
"2045","NM_001009996",0,0,0,0
"2046","NM_001009997",1,0,0,0
"2047","NM_001009998",0,0,0,0
"2048","NM_001009999",6,1,3,1
"2049","NM_001010",11053,13048,14203,10538
"2050","NM_001010000",432,427,117,69
"2051","NM_001010844",94,70,48,43
"2052","NM_001010846",0,0,3,1
"2053","NM_001010847",0,0,4,4
"2054","NM_001010848",0,0,0,0
"2055","NM_001010851",192,185,221,195
"2056","NM_001010852",0,0,1,1
"2057","NM_001010853",120,136,104,48
"2058","NM_001010854",142,140,159,143
"2059","NM_001010855",0,0,0,0
"2060","NM_001010857",0,0,0,0
"2061","NM_001010858",1133,1204,1166,994
"2062","NM_001010859",0,0,0,0
"2063","NM_001010860",23,24,20,23
"2064","NM_001010861",0,0,0,0
"2065","NM_001010862",96,99,128,110
"2066","NM_001010863",0,0,0,0
"2067","NM_001010866",15,25,18,17
"2068","NM_001010867",2,3,3,4
"2069","NM_001010868",11,11,5,3
"2070","NM_001010870",0,0,0,0
"2071","NM_001010872",0,2,0,3
"2072","NM_001010873",1,0,0,0
"2073","NM_001010874",0,0,1,0
"2074","NM_001010875",0,0,0,0
"2075","NM_001010876",0,0,0,0
"2076","NM_001010877",2,0,2,0
"2077","NM_001010879",75,76,80,78
"2078","NM_001010880",8,7,4,4
"2079","NM_001010881",127,89,73,58
"2080","NM_001010883",291,237,98,110
"2081","NM_001010886",0,0,0,0
"2082","NM_001010887",19,5,99,71
"2083","NM_001010888",38,18,22,28
"2084","NM_001010889",0,0,0,0
"2085","NM_001010890",0,0,0,0
"2086","NM_001010891",1,3,1,3
"2087","NM_001010892",0,0,0,0
"2088","NM_001010893",2,2,2,1
"2089","NM_001010895",16,18,5,8
"2090","NM_001010896",0,0,0,0
"2091","NM_001010897",26,26,25,25
"2092","NM_001010898",7,15,25,28
"2093","NM_001010903",0,0,2,1
"2094","NM_001010904",0,0,0,0
"2095","NM_001010905",0,0,1,1
"2096","NM_001010906",1,0,1,0
"2097","NM_001010908",11,10,12,6
"2098","NM_001010909",0,0,0,0
"2099","NM_001010911",69,75,73,39
"2100","NM_001010912",0,0,0,0
"2101","NM_001010915",288,263,163,158
"2102","NM_001010917",0,0,1,3
"2103","NM_001010919",3,3,4,0
"2104","NM_001010922",2,0,1,1
"2105","NM_001010923",0,0,0,0
"2106","NM_001010924",233,209,248,277
"2107","NM_001010926",0,0,0,0
"2108","NM_001010927",0,0,0,0
"2109","NM_001010931",0,0,0,0
"2110","NM_001010932",0,0,0,0
"2111","NM_001010933",0,0,0,0
"2112","NM_001010934",4,3,2,3
"2113","NM_001010935",3,4,4,4
"2114","NM_001010938",1,0,0,0
"2115","NM_001010939",1,1,0,2
"2116","NM_001010940",0,0,0,0
"2117","NM_001010942",0,0,0,0
"2118","NM_001010969",0,1,0,0
"2119","NM_001010971",2,0,1,0
"2120","NM_001010972",0,0,0,0
"2121","NM_001010974",0,0,0,0
"2122","NM_001010977",2,1,2,3
"2123","NM_001010978",0,0,0,0
"2124","NM_001010979",0,0,2,0
"2125","NM_001010980",0,0,5,0
"2126","NM_001010982",0,0,0,0
"2127","NM_001010983",0,0,0,0
"2128","NM_001010984",0,0,0,0
"2129","NM_001010985",0,0,0,0
"2130","NM_001010986",0,0,0,0
"2131","NM_001010987",2,0,0,0
"2132","NM_001010989",0,0,0,0
"2133","NM_001011",1208,1314,1123,883
"2134","NM_001011513",0,0,0,0
"2135","NM_001011515",0,0,0,0
"2136","NM_001011516",3,1,1,0
"2137","NM_001011537",1,2,5,0
"2138","NM_001011543",0,0,0,0
"2139","NM_001011544",0,0,0,0
"2140","NM_001011546",7,13,4,6
"2141","NM_001011547",0,0,0,0
"2142","NM_001011548",0,0,0,0
"2143","NM_001011549",0,0,0,0
"2144","NM_001011550",0,0,0,0
"2145","NM_001011551",0,0,0,0
"2146","NM_001011552",0,0,0,1
"2147","NM_001011553",0,0,0,0
"2148","NM_001011554",0,0,0,0
"2149","NM_001011645",0,0,1,0
"2150","NM_001011649",0,0,0,0
"2151","NM_001011655",0,0,0,0
"2152","NM_001011657",0,0,0,0
"2153","NM_001011658",0,0,1,0
"2154","NM_001011663",5,13,7,5
"2155","NM_001011666",0,0,0,0
"2156","NM_001011667",0,0,0,0
"2157","NM_001011668",0,0,0,0
"2158","NM_001011669",0,0,0,0
"2159","NM_001011670",0,0,0,0
"2160","NM_001011671",0,0,0,0
"2161","NM_001011699",0,0,0,0
"2162","NM_001011700",0,0,0,0
"2163","NM_001011703",5,2,0,3
"2164","NM_001011705",0,0,0,0
"2165","NM_001011708",0,0,0,0
"2166","NM_001011709",0,0,0,3
"2167","NM_001011713",290,266,373,288
"2168","NM_001011717",0,0,0,0
"2169","NM_001011718",0,0,0,0
"2170","NM_001011719",0,0,0,1
"2171","NM_001011720",0,0,0,0
"2172","NM_001011722",0,0,0,0
"2173","NM_001011724",0,2,1,2
"2174","NM_001011725",0,0,0,0
"2175","NM_001011878",0,0,0,0
"2176","NM_001011880",0,0,0,0
"2177","NM_001011885",0,0,0,0
"2178","NM_001012",6813,8195,7976,5805
"2179","NM_001012241",821,704,673,619
"2180","NM_001012264",1,0,0,0
"2181","NM_001012267",1,4,0,2
"2182","NM_001012270",0,0,0,0
"2183","NM_001012271",2,0,0,0
"2184","NM_001012276",0,0,0,0
"2185","NM_001012277",0,0,0,0
"2186","NM_001012279",30,19,18,31
"2187","NM_001012288",0,0,0,0
"2188","NM_001012300",3,5,1,1
"2189","NM_001012301",140,112,98,92
"2190","NM_001012302",2,1,1,0
"2191","NM_001012303",0,0,0,0
"2192","NM_001012320",0,0,0,0
"2193","NM_001012329",0,0,0,0
"2194","NM_001012331",0,0,0,0
"2195","NM_001012333",0,0,0,0
"2196","NM_001012334",1,1,0,0
"2197","NM_001012337",0,0,0,0
"2198","NM_001012338",0,0,0,0
"2199","NM_001012339",0,0,0,0
"2200","NM_001012361",0,0,0,0
"2201","NM_001012393",0,0,0,0
"2202","NM_001012398",0,0,0,1
"2203","NM_001012409",0,0,0,0
"2204","NM_001012410",0,0,0,0
"2205","NM_001012411",0,0,0,0
"2206","NM_001012412",0,0,0,0
"2207","NM_001012413",0,0,0,0
"2208","NM_001012414",12,7,13,5
"2209","NM_001012415",0,0,0,0
"2210","NM_001012416",0,0,0,0
"2211","NM_001012417",0,0,0,0
"2212","NM_001012418",21,15,28,22
"2213","NM_001012419",0,0,0,0
"2214","NM_001012421",0,0,0,0
"2215","NM_001012425",0,1,1,0
"2216","NM_001012426",0,0,0,0
"2217","NM_001012427",0,0,0,0
"2218","NM_001012428",0,0,0,0
"2219","NM_001012446",0,0,0,0
"2220","NM_001012454",0,0,0,0
"2221","NM_001012455",40,59,40,25
"2222","NM_001012456",0,0,0,0
"2223","NM_001012478",0,0,0,0
"2224","NM_001012502",20,16,30,31
"2225","NM_001012503",0,0,0,0
"2226","NM_001012505",0,0,0,0
"2227","NM_001012506",0,0,0,0
"2228","NM_001012507",0,0,0,0
"2229","NM_001012508",40,49,40,46
"2230","NM_001012509",0,0,0,0
"2231","NM_001012511",44,44,52,41
"2232","NM_001012512",0,0,0,0
"2233","NM_001012513",0,0,0,0
"2234","NM_001012514",0,0,0,0
"2235","NM_001012515",0,0,0,0
"2236","NM_001012516",0,0,0,0
"2237","NM_001012614",46,37,44,35
"2238","NM_001012631",0,0,0,0
"2239","NM_001012632",0,0,1,2
"2240","NM_001012633",0,0,0,0
"2241","NM_001012634",0,0,0,0
"2242","NM_001012635",0,0,0,0
"2243","NM_001012636",0,0,0,0
"2244","NM_001012642",4,0,4,4
"2245","NM_001012643",23,19,26,19
"2246","NM_001012644",0,0,0,0
"2247","NM_001012659",0,0,1,2
"2248","NM_001012662",1,0,0,0
"2249","NM_001012664",0,0,0,0
"2250","NM_001012708",0,0,0,0
"2251","NM_001012709",0,0,0,0
"2252","NM_001012710",0,2,1,0
"2253","NM_001012715",6,4,0,1
"2254","NM_001012716",27,20,61,32
"2255","NM_001012718",0,0,0,0
"2256","NM_001012720",0,0,0,0
"2257","NM_001012722",0,0,0,0
"2258","NM_001012727",0,0,0,0
"2259","NM_001012728",0,0,0,0
"2260","NM_001012729",0,0,0,0
"2261","NM_001012732",2,0,1,1
"2262","NM_001012750",0,0,0,0
"2263","NM_001012751",0,0,0,0
"2264","NM_001012752",0,0,0,0
"2265","NM_001012753",35,41,26,21
"2266","NM_001012754",0,0,0,0
"2267","NM_001012755",9,9,11,12
"2268","NM_001012756",0,0,0,0
"2269","NM_001012758",39,37,37,21
"2270","NM_001012759",0,0,4,1
"2271","NM_001012761",2217,1788,3814,4106
"2272","NM_001012762",0,0,0,0
"2273","NM_001012763",0,0,0,0
"2274","NM_001012957",0,0,0,0
"2275","NM_001012958",0,0,0,0
"2276","NM_001012959",0,0,0,0
"2277","NM_001012964",0,0,0,0
"2278","NM_001012965",0,0,0,0
"2279","NM_001012967",181,172,130,133
"2280","NM_001012968",82,61,48,37
"2281","NM_001012969",2,4,1,1
"2282","NM_001012970",0,0,0,0
"2283","NM_001012971",3,1,1,1
"2284","NM_001012973",150,164,168,137
"2285","NM_001012974",0,2,2,0
"2286","NM_001012975",0,0,0,0
"2287","NM_001012977",0,0,0,0
"2288","NM_001012978",0,0,0,0
"2289","NM_001012979",0,0,0,1
"2290","NM_001012980",17,14,19,15
"2291","NM_001012981",112,108,106,83
"2292","NM_001012984",44,33,24,14
"2293","NM_001012985",0,0,0,0
"2294","NM_001012989",0,0,0,0
"2295","NM_001012991",122,119,142,137
"2296","NM_001012993",2,1,1,1
"2297","NM_001012994",730,691,514,509
"2298","NM_001013",248,319,320,271
"2299","NM_001013031",0,0,0,0
"2300","NM_001013251",128,111,128,86
"2301","NM_001013253",0,0,0,0
"2302","NM_001013254",0,0,0,0
"2303","NM_001013255",0,0,0,0
"2304","NM_001013257",0,1,0,0
"2305","NM_001013258",2,2,1,2
"2306","NM_001013354",0,0,0,0
"2307","NM_001013355",0,0,0,0
"2308","NM_001013356",0,0,0,0
"2309","NM_001013357",0,0,0,0
"2310","NM_001013358",0,0,0,0
"2311","NM_001013398",0,0,0,0
"2312","NM_001013399",0,0,0,0
"2313","NM_001013403",0,0,1,1
"2314","NM_001013406",0,0,0,0
"2315","NM_001013407",0,0,0,0
"2316","NM_001013415",2,4,1,1
"2317","NM_001013435",0,0,0,0
"2318","NM_001013436",0,0,0,0
"2319","NM_001013437",0,0,0,0
"2320","NM_001013438",0,0,0,0
"2321","NM_001013439",4,7,7,6
"2322","NM_001013579",0,0,0,0
"2323","NM_001013615",30,19,50,42
"2324","NM_001013619",1,1,3,1
"2325","NM_001013620",25,22,23,39
"2326","NM_001013622",0,0,0,0
"2327","NM_001013623",2,0,0,1
"2328","NM_001013625",14,14,13,17
"2329","NM_001013626",1,1,1,1
"2330","NM_001013627",109,72,49,39
"2331","NM_001013628",0,0,0,0
"2332","NM_001013630",1,3,0,0
"2333","NM_001013631",1,1,2,0
"2334","NM_001013632",12,12,25,26
"2335","NM_001013635",6,7,4,1
"2336","NM_001013638",3,3,0,3
"2337","NM_001013641",0,0,0,0
"2338","NM_001013642",1123,1094,1414,1222
"2339","NM_001013643",0,0,0,0
"2340","NM_001013646",1,1,0,0
"2341","NM_001013647",0,0,0,0
"2342","NM_001013649",326,331,269,209
"2343","NM_001013650",0,0,0,0
"2344","NM_001013653",0,0,0,0
"2345","NM_001013657",30,18,19,14
"2346","NM_001013658",0,1,0,1
"2347","NM_001013659",53,35,60,59
"2348","NM_001013660",116,101,115,78
"2349","NM_001013661",18,11,12,7
"2350","NM_001013663",205,257,269,188
"2351","NM_001013672",17,15,17,15
"2352","NM_001013690",4,1,1,4
"2353","NM_001013693",187,127,163,339
"2354","NM_001013694",106,114,122,103
"2355","NM_001013698",0,1,4,3
"2356","NM_001013699",87,95,81,58
"2357","NM_001013703",2147,1841,1913,1703
"2358","NM_001013706",0,1,0,1
"2359","NM_001013732",9,15,92,72
"2360","NM_001013734",0,2,1,3
"2361","NM_001013735",0,0,0,0
"2362","NM_001013736",0,0,0,0
"2363","NM_001013742",0,0,0,0
"2364","NM_001013743",0,0,0,1
"2365","NM_001013746",0,0,0,0
"2366","NM_001013836",0,0,0,0
"2367","NM_001013837",0,0,0,0
"2368","NM_001013838",0,0,0,0
"2369","NM_001013839",0,0,0,0
"2370","NM_001013841",0,0,0,0
"2371","NM_001013842",0,0,1,1
"2372","NM_001013843",0,0,0,0
"2373","NM_001013845",72,43,81,66
"2374","NM_001013848",0,0,0,0
"2375","NM_001014",0,0,0,0
"2376","NM_001014279",10,14,8,8
"2377","NM_001014283",140,113,121,107
"2378","NM_001014286",13,8,6,10
"2379","NM_001014291",0,0,0,0
"2380","NM_001014336",0,0,0,0
"2381","NM_001014342",2,1,7,4
"2382","NM_001014380",4,5,8,5
"2383","NM_001014431",0,0,0,0
"2384","NM_001014432",0,0,0,0
"2385","NM_001014433",0,0,0,0
"2386","NM_001014434",0,0,0,0
"2387","NM_001014435",0,0,0,0
"2388","NM_001014436",0,0,0,0
"2389","NM_001014437",0,0,0,0
"2390","NM_001014440",35,28,13,11
"2391","NM_001014442",0,0,2,1
"2392","NM_001014443",9,3,5,2
"2393","NM_001014445",0,0,3,2
"2394","NM_001014446",0,0,0,0
"2395","NM_001014447",0,0,0,0
"2396","NM_001014448",8,9,0,1
"2397","NM_001014449",0,0,0,0
"2398","NM_001014450",0,0,0,0
"2399","NM_001014451",0,0,0,0
"2400","NM_001014763",2,1,0,2
"2401","NM_001014764",1,1,1,1
"2402","NM_001014765",4,1,0,3
"2403","NM_001014794",0,0,0,0
"2404","NM_001014795",11,13,20,6
"2405","NM_001014796",3,4,3,4
"2406","NM_001014797",0,0,0,0
"2407","NM_001014809",0,0,0,0
"2408","NM_001014811",1,2,1,2
"2409","NM_001014812",0,0,0,0
"2410","NM_001014831",0,0,0,0
"2411","NM_001014832",0,0,0,0
"2412","NM_001014834",0,0,0,0
"2413","NM_001014835",0,0,0,0
"2414","NM_001014837",0,0,0,0
"2415","NM_001014838",0,0,0,0
"2416","NM_001014839",0,0,0,0
"2417","NM_001014840",0,0,0,0
"2418","NM_001014841",0,0,0,0
"2419","NM_001014842",14,15,12,9
"2420","NM_001014972",0,0,0,0
"2421","NM_001014975",16,16,24,19
"2422","NM_001014977",0,0,0,0
"2423","NM_001014979",5,0,11,9
"2424","NM_001014980",1,4,9,8
"2425","NM_001014985",8,7,4,7
"2426","NM_001014986",0,0,0,0
"2427","NM_001014987",0,0,0,0
"2428","NM_001014988",0,0,0,0
"2429","NM_001014989",0,0,1,0
"2430","NM_001014990",0,0,0,0
"2431","NM_001014999",0,0,0,0
"2432","NM_001015",5826,7104,6844,5077
"2433","NM_001015000",0,0,0,0
"2434","NM_001015001",0,0,0,0
"2435","NM_001015002",0,0,1,0
"2436","NM_001015038",0,0,0,0
"2437","NM_001015045",0,0,0,0
"2438","NM_001015048",4,0,0,2
"2439","NM_001015049",2,0,0,0
"2440","NM_001015050",0,0,0,0
"2441","NM_001015051",0,0,0,0
"2442","NM_001015052",0,0,0,0
"2443","NM_001015053",0,0,0,0
"2444","NM_001015054",1,3,6,1
"2445","NM_001015055",0,0,2,0
"2446","NM_001015056",0,0,0,0
"2447","NM_001015072",15,15,23,19
"2448","NM_001015508",2,5,2,1
"2449","NM_001015509",28,25,19,20
"2450","NM_001015877",0,0,0,0
"2451","NM_001015878",0,0,0,0
"2452","NM_001015879",0,0,0,0
"2453","NM_001015880",0,0,0,0
"2454","NM_001015881",3,5,5,2
"2455","NM_001015882",0,0,0,0
