"","gene_id","control1","control2","treat1","treat2"
"190","NM_000201",497,495,682,759
"191","NM_000202",0,0,0,0
"192","NM_000203",0,0,0,0
"193","NM_000204",70,95,50,24
"194","NM_000206",0,0,1,0
"195","NM_000207",0,0,0,0
"196","NM_000208",0,0,0,0
"197","NM_000209",0,0,0,0
"198","NM_000210",0,0,0,0
"199","NM_000211",0,0,0,0
"200","NM_000212",214,186,210,225
"201","NM_000213",0,0,0,1
"202","NM_000214",403,274,152,122
"203","NM_000215",101,70,48,48
"204","NM_000216",5,7,48,55
"205","NM_000217",0,0,1,0
"206","NM_000218",0,0,0,0
"207","NM_000219",0,0,0,1
"208","NM_000220",0,0,0,0
"209","NM_000221",1,1,0,0
"210","NM_000222",0,0,0,0
"211","NM_000223",0,1,0,1
"212","NM_000224",2,2,0,2
"213","NM_000226",0,0,1,1
"214","NM_000227",0,0,0,0
"215","NM_000228",0,0,0,0
"216","NM_000229",100,47,89,58
"217","NM_000230",2,4,28,16
"218","NM_000231",7,11,21,6
"219","NM_000232",412,355,556,552
"220","NM_000233",0,0,1,2
"221","NM_000234",0,0,0,0
"222","NM_000235",0,0,0,0
"223","NM_000236",10,10,13,8
"224","NM_000237",0,0,0,1
"225","NM_000238",0,0,0,0
"226","NM_000239",0,0,0,2
"227","NM_000240",0,0,0,0
"228","NM_000242",0,0,0,0
"229","NM_000243",0,1,0,0
"230","NM_000244",0,0,0,0
"231","NM_000245",0,0,0,0
"232","NM_000246",0,0,0,0
"233","NM_000247",0,0,0,0
"234","NM_000248",0,0,0,0
"235","NM_000249",0,0,0,0
"236","NM_000250",0,0,2,2
"237","NM_000251",12,6,15,5
"238","NM_000252",92,106,112,110
"239","NM_000253",0,0,0,0
"240","NM_000254",0,0,0,0
"241","NM_000255",213,175,223,176
"242","NM_000256",0,0,0,0
"243","NM_000257",0,1,1,2
"244","NM_000258",1,4,1,0
"245","NM_000259",3,1,2,4
"246","NM_000260",0,0,0,0
"247","NM_000261",0,1,3,1
"248","NM_000262",535,457,446,358
"249","NM_000263",356,383,477,436
"250","NM_000264",3,2,2,2
"251","NM_000265",0,0,1,0
"252","NM_000266",0,0,2,3
"253","NM_000267",0,0,0,0
"254","NM_000268",0,0,0,0
"255","NM_000269",0,0,0,0
"256","NM_000270",58,69,226,186
"257","NM_000271",346,312,331,331
"258","NM_000272",0,0,0,0
"259","NM_000273",1,0,3,2
"260","NM_000274",212,198,263,241
"261","NM_000275",0,0,0,0
"262","NM_000276",0,0,0,0
"263","NM_000277",3,0,4,1
"264","NM_000278",0,0,0,0
"265","NM_000280",0,0,0,0
"266","NM_000281",1,2,6,3
"267","NM_000282",0,0,0,0
"268","NM_000283",0,0,0,0
"269","NM_000284",0,0,0,0
"270","NM_000285",0,0,0,0
"271","NM_000286",130,122,161,126
"272","NM_000287",0,0,0,0
"273","NM_000288",40,50,59,54
"274","NM_000289",6,7,10,3
"275","NM_000290",58,57,58,49
"276","NM_000291",5166,4441,5528,4621
"277","NM_000292",163,133,142,127
"278","NM_000293",5,0,1,2
"279","NM_000294",44,32,44,37
"280","NM_000295",0,0,0,0
"281","NM_000296",0,0,0,0
"282","NM_000297",1648,1570,2709,2708
"283","NM_000298",0,0,0,0
"284","NM_000299",0,0,0,0
"285","NM_000300",0,0,0,0
"286","NM_000301",0,0,0,0
"287","NM_000302",0,0,0,0
"288","NM_000303",394,366,452,397
"289","NM_000304",0,0,0,0
"290","NM_000305",0,2,0,0
"291","NM_000306",0,0,0,0
"292","NM_000307",0,0,0,0
"293","NM_000308",0,0,0,0
"294","NM_000309",0,0,0,0
"295","NM_000310",64,50,46,44
"296","NM_000311",0,0,0,0
"297","NM_000312",0,2,0,3
