"","RefSeq_ID"
"317","NM_001039570"
"318","NM_001080437"
"319","NM_001080433"
"320","NM_004932"
"321","NM_006209"
"322","NM_199420"
"323","NM_001292023"
"324","NM_004443"
"325","NM_207446"
"326","NM_001170820"
"327","NM_002463"
"328","NM_001159699"
"329","NR_038332"
"330","NM_032043"
"331","NM_003014"
"332","NM_015393"
"333","NM_006158"
"334","NM_078626"
"335","NM_021127"
"336","NM_002192"
"337","NM_004811"
"338","NM_002430"
"339","NM_002022"
"340","NM_178450"
"341","NM_006576"
"342","NR_038848"
"343","NM_206827"
"344","NM_000804"
"345","NM_153340"
"346","NM_001100425"
"347","NM_001433"
"348","NR_125831"
"349","NM_001570"
"350","NM_207371"
"351","NM_001352"
"352","NM_020808"
"353","NR_024065"
"354","NM_024893"
"355","NM_134268"
"356","NM_006733"
"357","NM_178822"
"358","NM_004621"
"359","NM_173496"
"360","NM_175065"
"361","NM_014391"
"362","NM_013262"
"363","NR_047495"
"364","NM_002497"
"365","NM_000982"
"366","NM_145798"
"367","NM_018476"
"368","NM_019018"
"369","NM_174911"
"370","NM_133367"
"371","NM_152701"
"372","NM_001873"
"373","NM_030796"
"374","NR_038380"
"375","NM_019605"
"376","NM_173557"
"377","NM_001005473"
"378","NM_005786"
"379","NM_003510"
"380","NM_052941"
"381","NM_001025357"
"382","NM_032023"
"383","NM_030949"
"384","NM_001197294"
"385","NR_110997"
"386","NM_031246"
"387","NM_018441"
"388","NM_030957"
"389","NM_015161"
"390","NM_000848"
"391","NM_001034841"
"392","NM_001199933"
"393","NM_080668"
"394","NR_038387"
"395","NM_173833"
"396","NM_001927"
"397","NM_001292004"
"398","NM_004717"
"399","NM_152495"
"400","NM_001199163"
"401","NR_027157"
"402","NM_032587"
"403","NR_073116"
"404","NM_004237"
"405","NM_031910"
"406","NM_058195"
"407","NM_002526"
"408","NM_021013"
"409","NM_005562"
"410","NM_001039112"
"411","NM_001855"
"412","NM_021066"
"413","NM_000867"
"414","NM_021738"
"415","NM_001311"
"416","NM_000230"
"417","NM_001220778"
"418","NM_004655"
"419","NR_024348"
"420","NR_045725"
"421","NM_015973"
"422","NM_021822"
"423","NM_003881"
"424","NR_027341"
"425","NM_018154"
"426","NM_001024455"
"427","NM_001278235"
"428","NM_021020"
"429","NM_001134848"
"430","NM_003878"
"431","NM_025004"
"432","NR_120664"
"433","NM_001175"
"434","NM_001001548"
"435","NM_001017420"
"436","NM_003223"
"437","NM_152426"
