,RefSeq_ID,ensembl_gene_id
188,NM_003276,ENSG00000120802
189,NM_003495,ENSG00000276180
190,NM_003519,ENSG00000185130
191,NM_001010887,ENSG00000177076
192,NM_003543,ENSG00000158406
193,NM_001647,ENSG00000189058
194,NM_003523,ENSG00000274290
195,NM_020724,ENSG00000170153
196,NM_032849,ENSG00000102802
197,NM_002337,ENSG00000163956
198,NM_000214,ENSG00000101384
199,NM_022068,ENSG00000154864
200,NM_004560,ENSG00000169071
201,NM_003620,ENSG00000170836
202,NM_003518,ENSG00000273802
203,NM_020927,ENSG00000171724
204,NM_032623,ENSG00000137463
205,NM_052920,ENSG00000119771
206,NM_017709,ENSG00000183508
207,NM_003107,ENSG00000124766
208,NM_001010883,ENSG00000162636
209,NM_003514,ENSG00000278677
210,NM_012328,ENSG00000128590
211,NM_003538,ENSG00000278637
212,NM_003108,ENSG00000176887
213,NM_005014,ENSG00000127083
214,NM_003004,ENSG00000141574
215,NM_020242,ENSG00000163808
216,NM_178505,ENSG00000196932
217,NM_001466,ENSG00000180340
218,NM_014865,ENSG00000010292
219,NM_007038,ENSG00000154736
220,NM_021058,ENSG00000124635
221,NM_001001791,None
222,NM_205855,ENSG00000189320
223,NM_001040709,ENSG00000143028
224,NM_005761,ENSG00000136040
225,NR_003136,None
226,NM_198404,ENSG00000180332
227,NM_001033886,ENSG00000107562
228,NM_005842,ENSG00000136158
229,NM_000930,ENSG00000104368
230,NM_002994,ENSG00000163735
231,NM_003844,ENSG00000104689
232,NM_198516,ENSG00000110328
233,NM_003513,ENSG00000278463
234,NM_000216,ENSG00000011201
235,NM_175061,ENSG00000153814
236,NM_031217,ENSG00000121621
237,NM_005325,ENSG00000124610
238,NM_002358,ENSG00000164109
239,NM_030792,ENSG00000158555
240,NM_080874,ENSG00000164122
241,NM_003851,ENSG00000143162
242,NM_021110,ENSG00000187955
243,NM_004657,ENSG00000168497
244,NM_003529,ENSG00000275714
245,NM_020133,ENSG00000026652
246,NM_003258,ENSG00000167900
247,NM_030820,ENSG00000124749
248,NM_000576,ENSG00000125538
249,NM_020433,ENSG00000149596
250,NM_001821,ENSG00000203668
251,NM_001007098,ENSG00000116171
252,NM_003407,ENSG00000128016
253,NM_002090,ENSG00000163734
254,NM_020872,ENSG00000113805
255,NM_000348,ENSG00000277893
256,NR_024607,ENSG00000223749
257,NM_000600,ENSG00000136244
258,NM_005645,ENSG00000197780
259,NM_005252,ENSG00000170345
260,NM_005941,ENSG00000156103
261,NM_006818,ENSG00000213190
262,NM_001286841,ENSG00000164920
263,NM_002646,ENSG00000133056
264,NM_052906,ENSG00000166897
265,NM_016426,ENSG00000075218
266,NM_207363,ENSG00000176771
267,NM_004556,ENSG00000146232
268,NM_005458,ENSG00000136928
269,NM_178012,ENSG00000137285
270,NM_203349,ENSG00000185634
271,NM_014399,ENSG00000106537
272,NM_173653,ENSG00000181804
273,NM_001097620,ENSG00000164855
274,NM_003511,ENSG00000276903
275,NM_000107,ENSG00000134574
276,NM_032199,ENSG00000150347
277,NM_005480,ENSG00000135451
278,NM_001657,ENSG00000109321
279,NM_000702,ENSG00000018625
280,NM_002417,ENSG00000148773
281,NM_020890,ENSG00000163507
282,NM_024430,ENSG00000152229
283,NM_001262,ENSG00000123080
284,NM_018397,ENSG00000016391
285,NM_001945,ENSG00000113070
286,NM_030636,ENSG00000122547
287,NM_004820,ENSG00000172817
288,NM_004585,ENSG00000133321
289,NM_004753,ENSG00000162496
290,NM_001114734,ENSG00000254535
291,NM_000575,ENSG00000115008
292,NM_002374,ENSG00000078018
293,NM_005573,ENSG00000113368
294,NM_006342,ENSG00000013810
295,NM_018248,ENSG00000109674
296,NM_005270,ENSG00000074047
297,NM_138720,ENSG00000158373
298,NM_022909,ENSG00000153044
299,NM_001394,ENSG00000120875
300,NM_001946,ENSG00000139318
301,NM_006258,ENSG00000185532
302,NM_012454,ENSG00000146426
303,NM_006895,ENSG00000150540
304,NM_002275,ENSG00000171346
305,NM_012250,ENSG00000133818
306,NM_021255,ENSG00000139946
307,NM_017669,ENSG00000186871
308,NM_025079,ENSG00000163874
309,NM_182757,ENSG00000137393
310,NM_017563,ENSG00000144730
311,NM_024336,ENSG00000177508
312,NM_018012,ENSG00000162849
313,NM_016354,ENSG00000101187
314,NM_014365,ENSG00000152137
315,NM_003532,ENSG00000274750
316,NM_003469,ENSG00000171951
317,NM_001039570,ENSG00000183762
318,NM_001080437,ENSG00000162804
319,NM_001080433,ENSG00000055813
320,NM_004932,ENSG00000113361
321,NM_006209,ENSG00000136960
322,NM_199420,ENSG00000051341
323,NM_001292023,None
324,NM_004443,ENSG00000182580
325,NM_207446,ENSG00000185442
326,NM_001170820,ENSG00000244242
327,NM_002463,ENSG00000183486
328,NM_001159699,ENSG00000022267
329,NR_038332,ENSG00000254887
330,NM_032043,ENSG00000136492
331,NM_003014,ENSG00000106483
332,NM_015393,ENSG00000169116
333,NM_006158,ENSG00000277586
334,NM_078626,ENSG00000123080
335,NM_021127,ENSG00000141682
336,NM_002192,ENSG00000122641
337,NM_004811,ENSG00000110031
338,NM_002430,ENSG00000169184
339,NM_002022,ENSG00000076258
340,NM_178450,ENSG00000173926
341,NM_006576,ENSG00000135407
342,NR_038848,ENSG00000250337
343,NM_206827,ENSG00000122035
344,NM_000804,ENSG00000110203
345,NM_153340,ENSG00000162650
346,NM_001100425,ENSG00000164542
347,NM_001433,ENSG00000178607
348,NR_125831,ENSG00000235033
349,NM_001570,ENSG00000134070
350,NM_207371,ENSG00000180592
351,NM_001352,ENSG00000105516
352,NM_020808,ENSG00000116991
353,NR_024065,None
354,NM_024893,ENSG00000101463
355,NM_134268,ENSG00000161544
356,NM_006733,ENSG00000102384
357,NM_178822,ENSG00000152580
358,NM_004621,ENSG00000137672
359,NM_173496,ENSG00000150054
360,NM_175065,ENSG00000184270
361,NM_014391,ENSG00000148677
362,NM_013262,ENSG00000007944
363,NR_047495,ENSG00000260910
364,NM_002497,ENSG00000117650
365,NM_000982,ENSG00000122026
366,NM_145798,ENSG00000006025
367,NM_018476,ENSG00000133169
368,NM_019018,ENSG00000145569
369,NM_174911,ENSG00000168672
370,NM_133367,ENSG00000170915
371,NM_152701,ENSG00000179869
372,NM_001873,ENSG00000109472
373,NM_030796,ENSG00000154978
374,NR_038380,ENSG00000250033
375,NM_019605,ENSG00000082497
376,NM_173557,ENSG00000176641
377,NM_001005473,ENSG00000182836
378,NM_005786,ENSG00000179981
379,NM_003510,ENSG00000275221
380,NM_052941,ENSG00000162654
381,NM_001025357,ENSG00000205002
382,NM_032023,ENSG00000107551
383,NM_030949,ENSG00000198729
384,NM_001197294,ENSG00000113657
385,NR_110997,ENSG00000233006
386,NM_031246,ENSG00000242221
387,NM_018441,ENSG00000115425
388,NM_030957,ENSG00000142303
389,NM_015161,ENSG00000170540
390,NM_000848,ENSG00000213366
391,NM_001034841,ENSG00000205730
392,NM_001199933,ENSG00000080546
393,NM_080668,ENSG00000146670
394,NR_038387,ENSG00000240875
395,NM_173833,ENSG00000168079
396,NM_001927,ENSG00000175084
397,NM_001292004,ENSG00000049860
398,NM_004717,ENSG00000157680
399,NM_152495,ENSG00000143786
400,NM_001199163,ENSG00000087191
401,NR_027157,ENSG00000257167
